Entity,Code,Year,Self-harm,Exposure to forces of nature,Conflict and terrorism,Interpersonal violence,Neglected tropical diseases and malaria,Substance use disorders,Skin and subcutaneous diseases,Enteric infections,Diabetes and kidney diseases,Cardiovascular diseases,Digestive diseases,Nutritional deficiencies,Respiratory infections and tuberculosis,Neonatal disorders,Chronic respiratory diseases,Other non-communicable diseases,Maternal disorders,Unintentional injuries,Musculoskeletal disorders,Neoplasms,Mental disorders,Neurological disorders,HIV/AIDS and sexually transmitted infections,Transport injuries,Sense organ diseases
Afghanistan,AFG,1990,0.305873841,0.007185233,3.68898017,0.829298893,1.118337777,0.187689996,0.415665285,3.45879969,1.779317849,10.2234384,1.622300188,2.02079963,18.19904761,12.0231887,1.64018191,11.93743793,1.347937072,3.807512082,0.937570094,3.269980685,1.696670483,1.283453397,0.121301906,2.375831295,0.646458675
Albania,ALB,1990,0.727058706,0.003906364,0,1.340764168,0.205934699,0.812691271,1.6073385,1.473889022,1.786074299,14.9384652,3.378447277,1.727565492,15.60484977,8.740127989,2.564181549,7.29148089,0.217893786,7.617998246,4.265274497,8.203190226,4.34094201,4.160703498,0.133844969,3.332502638,1.65437205
Algeria,DZA,1992,0.870405468,0.054990965,0.360421778,0.432871069,0.234701059,0.427132089,1.162395359,2.710931203,2.31700192,14.86010914,1.762230832,1.624697611,5.873327519,16.27289169,1.788165652,13.83012096,0.97648301,5.070910247,3.071167034,3.879406565,4.730693789,2.981743294,0.215314715,8.926415991,1.429190889
American Samoa,ASM,1990,1.370136419,0,0,1.769322188,0.906831753,0.810316717,2.783561603,1.71986837,7.923787637,15.89077833,2.832200036,2.518641424,4.681245555,9.148343719,4.42008189,6.393186783,0.375741431,6.099719164,5.003497722,7.370611492,4.550356444,3.419115155,1.96793794,3.110849975,1.927680842
Andorra,AND,1990,2.217998876,0,0,0.386938013,0.014283726,2.027437563,2.996651499,0.274624956,2.382362092,11.62718968,2.998005732,0.502273656,1.50890196,1.391416676,4.482704879,7.277788734,0.025717624,5.001544948,10.59199975,21.07189629,9.629759712,6.088692819,0.624698059,4.420091867,1.838700805
Angola,AGO,1993,0.344512732,0,6.496319055,0.255949836,5.747405951,0.156793649,0.404109962,20.71293945,0.853600996,2.865682459,1.5001505,7.295176335,18.34777147,9.677085684,0.979316993,3.817680642,0.775991183,2.211349564,0.582965878,1.408204518,1.291706225,0.842521844,1.324125747,2.929994923,0.384118733
Antigua and Barbuda,ATG,1993,0.392453198,0.003152382,0.002937665,1.024508418,0.464574324,1.703957083,2.16816223,1.038275178,8.781567578,19.37634533,3.378505707,2.109104519,3.538923074,6.301723841,1.685671992,6.983693095,0.156293338,6.279629064,4.924888902,10.68431309,5.768496092,5.211234629,2.169667468,2.353007713,2.488175555
Argentina,ARG,1990,1.130410516,0.010886782,0.163586168,1.237655493,0.689299719,1.386740629,1.910032827,0.897179855,3.903920098,19.78365613,3.54743477,1.656355846,3.496757603,8.448434077,3.231774476,7.402757435,0.2917223,6.535305062,6.318621577,13.87955183,5.316918726,3.040201581,0.390208326,2.692652042,1.809589494
Armenia,ARM,1990,0.431043098,1.308726057,0.135457627,0.969977315,0.237443208,1.339543808,1.637628582,3.305503984,2.117212622,19.45476974,2.889071608,1.291367144,8.763123362,9.693451687,2.506051142,7.240053324,0.182762113,10.53027199,3.532310277,11.39015234,3.959784871,3.009950899,0.076023292,2.968603272,1.934180775
Australia,AUS,1990,2.460946049,0.01735931,0.002681509,0.728813873,0.031385422,2.514495837,2.316099971,0.175164836,2.461085565,20.12438569,2.437124007,0.433112023,1.164200762,2.27229971,5.272569197,6.695783844,0.050897254,6.26579496,8.457298769,16.01818121,8.738003226,4.65262604,0.467245469,3.8434335,2.125188652
Austria,AUT,1992,2.857509719,0.000653527,0.000250315,0.33401181,0.084408438,1.886271356,2.13098922,0.181119009,2.582049683,24.90947618,4.64246548,0.385611372,1.294297724,1.48149321,3.124184608,7.46735217,0.037908117,4.853585447,7.331694906,17.88152058,6.344819322,4.862915002,0.299307518,3.117095571,1.706422676
Azerbaijan,AZE,1990,0.360861293,0,0.061955807,1.504264662,0.199462313,0.942246707,1.304035641,4.671512505,1.770302981,16.45838003,2.769975053,1.512949916,24.68463622,8.866166098,1.840345264,6.443310292,0.162192167,5.445693802,2.435143335,7.237807496,2.776192047,2.620168417,0.156352806,2.281808862,1.35796503
Bahamas,BHS,1990,0.458402138,0,0.002158271,3.658178058,0.271045175,1.432548422,2.084346769,0.883333895,5.696334394,14.98357172,4.025973792,1.964655375,4.18843356,7.392042297,1.801998497,7.860248733,0.290096302,5.68639686,4.577275881,10.51333876,5.665572952,3.872572329,4.768220236,5.052551095,1.84504846
Bahrain,BHR,1990,1.222163852,0,0.044859728,0.694678541,0.112006836,0.837808887,1.960641073,0.999202901,4.391984093,17.04785999,2.745207239,1.571147873,2.22272092,11.12621178,2.809156213,14.15603105,0.329616889,3.786680286,5.060323083,6.344474204,8.457341293,4.294993892,0.316420295,6.194212644,1.710786087
Bangladesh,BGD,1990,0.845773304,0.098474531,0.014438767,0.371558014,3.997979972,0.206616433,0.706460475,11.45649128,1.132090275,4.860996109,2.736878295,7.816472085,16.99550471,16.93952734,2.238923204,5.099423732,1.563252449,4.840513472,1.633953245,2.510630693,1.972416157,1.214254924,0.617961939,1.011009574,0.828728302
Barbados,BRB,1991,0.698101827,0,0.004667244,1.913393221,0.321399016,1.058218496,2.819126992,0.782128039,9.354838667,19.21253483,3.376059156,1.429627321,2.896134633,5.64110782,1.96914544,6.906951657,0.173650739,3.795129593,5.481775638,13.38297013,5.599206189,4.671881531,2.201007952,2.729243019,2.436395809
Belarus,BLR,1990,2.653443916,0,0,1.168048631,0.131239203,2.862268081,1.099778031,0.463691133,1.389662323,29.78859065,2.535121072,0.724863614,2.106799149,2.459805995,4.252219553,5.586110012,0.07547849,8.352454551,4.320083636,14.27478291,4.599211783,3.524013109,0.171215784,4.552934958,2.345929029
Belgium,BEL,1995,2.972627615,0.008078108,0.001531625,0.473330365,0.009515692,1.741254126,2.330427422,0.307657167,3.154528836,19.00171711,3.443453224,0.40097494,2.056522698,1.214942101,5.544967566,6.896285729,0.03596561,4.737599455,7.954511416,20.15280204,5.943307055,5.853783345,0.382501411,3.250221954,1.878232965
Belize,BLZ,1990,0.66922324,0,0.870714178,1.988766734,0.616469811,0.785568529,1.828425656,4.051523343,3.90460135,9.203353394,3.056644484,3.970221144,8.15564879,15.14650439,2.247650112,9.111141965,0.271098635,7.236181627,3.208576844,4.835173824,4.717679287,3.183643922,3.060923009,4.345257558,1.700826257
Benin,BEN,1990,0.24519964,0.000619768,0,0.353896466,10.96334489,0.102607162,0.489263989,12.35238501,0.952356904,3.208653011,1.640363319,5.014741311,15.86932236,15.14966649,1.014082209,6.590674826,1.302642478,2.389602348,0.724785858,1.407626034,1.205370639,1.064380316,0.433777738,1.608344273,0.487772298
Bermuda,BMU,1991,0.877462411,0,0,0.887857212,0.248831216,1.325863666,1.703687447,0.546747015,5.400806568,23.14487192,3.696821106,1.025996654,1.883153719,2.747266873,2.158396562,6.222817343,0.123493558,3.646331699,5.933994831,17.00957834,6.610880467,4.507944231,2.928626822,4.120709576,2.717707573
Bhutan,BTN,1992,0.486842649,0,0,0.247054761,11.76910959,0.396590121,0.784928559,6.134661196,1.193433279,4.759980228,2.566281055,3.710976098,13.13169084,19.33627312,2.474757194,4.944501256,1.220608372,3.580600911,1.702232016,2.138978838,2.12545947,1.474016043,0.903691951,1.614014884,0.827083473
Bolivia,BOL,1990,0.514874606,0.003505921,0.010427843,0.754479299,1.273307445,0.611238082,0.95705415,5.682069,2.088207651,5.390516061,4.02052286,4.822035047,24.80056318,14.40890799,2.132589287,5.751690281,1.084806102,6.548249059,1.641212758,4.271841475,2.536015092,1.608550076,1.162955867,3.06022627,0.905459806
Bosnia and Herzegovina,BIH,1990,1.834226859,0,1.986178834,0.99618346,0.192358945,1.875594063,1.564091739,1.019803301,3.138451411,24.30386394,4.00495781,1.235695796,2.303530305,5.97950275,2.944928933,5.311363361,0.107697822,8.031943102,4.933300469,13.10987006,5.616252634,4.274295152,0.095239453,2.233419871,2.16118714
Botswana,BWA,1990,1.276501336,0.000645926,0.075835269,0.298472611,1.415713556,0.709096492,0.95218576,10.24411368,2.310307526,7.166645504,2.823119943,3.29979563,12.78773922,12.11486958,2.45982565,3.946346199,0.645967882,3.458341622,1.680804933,3.511943512,2.722997869,1.780493913,14.69881047,2.823474513,1.246864504
Brazil,BRA,1990,0.777194331,0.004674959,0.004648763,4.376379913,1.503629684,1.351114128,1.531759379,6.096829456,2.894733057,11.73688229,3.223153722,3.243260805,7.997963746,12.53730777,2.40230741,8.685807227,0.404219213,4.719956799,4.014984858,6.004497629,4.681363048,3.02908242,0.933989478,4.553884537,1.65131954
Brunei,BRN,1990,1.106967768,0,0,0.660461978,0.76743892,1.23778506,2.565719185,0.200165433,7.321288987,14.89655244,2.826269058,1.49506852,4.14835411,4.308840757,3.749983319,9.188310765,0.373514195,7.394113549,6.180060022,11.62339146,5.176147588,3.808445352,0.199607822,8.192944035,1.249695988
Bulgaria,BGR,1990,1.788137989,0.001302848,2.99E-05,0.685009313,0.084241942,1.03903213,1.028424257,0.493979685,3.093885891,38.4467154,3.633162632,0.553119047,4.048105683,1.530405498,2.98920744,4.708980797,0.070310644,6.384056821,4.307739361,12.70538285,3.617159645,3.254863019,0.065373898,3.183373054,1.906448078
Burkina Faso,BFA,1990,0.237322328,8.12E-05,0.000477687,0.413059282,14.23280486,0.081017931,0.405295957,17.32715153,0.828526881,2.363085625,1.369771505,3.210754252,14.32342609,9.805904179,0.628533522,6.996025751,0.603006986,1.949993646,0.641354802,1.226253363,1.023835272,0.816760388,6.885782426,1.543334676,0.415638826
Burundi,BDI,1990,0.415771658,0.000124333,0.007457734,0.073029683,19.37885188,0.160854523,0.468376881,9.833924008,0.975321306,3.844683989,1.462219243,5.344774566,16.17794697,10.68878302,1.48933071,4.212274277,1.155351164,2.247526021,0.610978081,1.961289746,1.239003265,0.725157,6.247428098,1.437435318,0.385279317
Cambodia,KHM,1990,0.406074046,0,0.990859597,0.390707455,1.399849178,0.214420902,0.814229153,7.18009784,1.488239872,5.180575586,4.207492428,5.238809738,30.292862,10.93691904,1.224600914,5.823947146,1.215311866,3.940639453,1.474362164,2.943690892,1.668846161,1.121705045,0.074042456,2.252181257,0.91774255
Cameroon,CMR,1990,0.345500335,0.023397238,0.008433422,0.26747876,10.85233183,0.183628342,0.583050838,20.20751373,1.411638344,3.393010698,1.793387279,2.176458054,11.39448619,12.45511796,1.191903706,4.873816674,1.319228435,1.835586601,1.034234879,1.792360481,1.574801386,1.275601628,2.704850059,1.961181443,0.608312948
Canada,CAN,1990,2.832247854,0.01755898,0.003060165,0.627694112,0.013169482,2.238637394,2.304330975,0.333724734,2.681362234,19.69494651,3.02030795,0.388839158,1.905658741,2.087167079,3.709954981,5.958245447,0.032993274,4.492971265,10.39726337,17.74265417,6.994483401,5.561177905,0.645444999,4.012679527,2.043596403
Cape Verde,CPV,1990,0.981863226,0.008900509,0,1.798935802,0.889979531,0.32582766,1.149355223,16.50044375,1.543008168,8.219871733,2.648831526,4.535737564,9.702651414,11.08568513,2.695666608,6.379543066,0.759944056,2.721585229,2.185125342,4.495076493,3.264169444,2.726514491,1.739262192,1.318134155,1.632074293
Central African Republic,CAF,2001,0.45752007,0.004260276,0.392888724,0.350587371,10.39064916,0.167516076,0.399371601,11.71709556,1.06688214,3.320183368,1.522412616,2.745958402,18.01424963,9.648461866,1.079103603,3.72709335,1.097892977,1.904204791,0.642197308,1.504891728,1.326355512,0.777786904,16.58048912,3.271772657,0.335310767
Chad,TCD,1990,0.200028102,0.00046176,0.780813919,0.301486406,6.686330692,0.086106329,0.404844561,19.16526603,0.785726153,2.749110598,1.474071058,7.259302594,16.10312324,11.84793161,0.901021696,4.741948434,1.131957158,2.04445443,0.66201609,1.14352527,1.121219703,0.822076326,1.673796935,1.106721455,0.474050704
Chile,CHL,1990,3.551591309,0.004488766,0.017547826,2.077132288,0.293560886,1.725549385,2.200826893,0.792753651,2.792606057,12.88380639,5.511905214,0.599875342,6.513361818,4.941277681,2.515526496,7.812618776,0.290025676,8.121728525,7.431569455,12.11687623,7.675485951,3.787194844,0.23699888,3.559068198,1.77034866
China,CHN,1990,2.409811223,0.021004614,0.000925509,0.813251832,0.621948979,1.335593014,1.740869259,2.051989398,2.107646262,14.62258149,3.184552593,1.696974699,11.57404316,6.433824901,7.034993858,7.126698833,0.286566276,6.566337238,4.237907541,10.9426738,3.784781982,2.513482167,0.171372613,3.589924054,1.984259578
Colombia,COL,1990,0.764451021,0.154757763,0.933790299,13.9628102,1.323552296,1.067751548,1.419712497,3.927859343,3.05158167,9.575540388,2.61700167,2.01219273,5.722909384,12.17962207,2.127282543,6.313947742,0.490466698,5.719944098,4.448677752,6.771644785,4.322886331,3.300231229,0.376759388,4.309881304,1.799799475
Comoros,COM,1990,0.28476315,0.009879663,0.005720297,0.402039836,9.003899466,0.194786906,0.721627297,11.83863559,1.256756871,4.818155566,1.748896415,4.993688069,18.772417,17.93928993,1.3980976,4.837213929,0.919457928,2.091994768,0.983521091,2.358245733,1.70935145,1.059050055,1.130717593,1.94891673,0.721491082
Congo,COG,1993,0.639837128,0,0.430258018,0.477603771,12.66429962,0.305991149,0.625283945,12.59698918,1.725331394,5.602549736,1.989222911,2.434553095,11.48134962,8.383335842,1.434960169,3.887694778,0.896525758,1.910624739,1.054900022,2.622263629,2.004920791,1.323539829,16.45435954,3.936956318,0.58947535
Cook Islands,COK,1990,2.807632671,0.58134798,0,0.624326707,3.971464069,0.888167174,2.032188177,1.031363495,8.931827497,18.96575271,2.361865964,1.36775948,8.394205392,6.052284799,4.231249967,3.88104046,0.065310467,3.252541345,4.720254049,8.566250957,4.244916621,3.211625634,0.852088658,6.404652749,2.079909
Costa Rica,CRI,1992,1.435721822,0.004502963,0.001460211,1.692132529,0.52302745,1.478739235,2.093895989,1.660401016,4.154700824,11.7853581,4.1498295,1.354543111,3.641173502,8.42790327,3.140492979,9.26471619,0.270899793,5.92950569,6.922740344,10.24787129,7.056005777,4.868635678,0.932588006,5.095776778,2.743446106
Cote d'Ivoire,CIV,1990,0.375250474,0,0.005638924,0.567526436,17.92846157,0.145834469,0.5258965,10.08768479,1.032237826,3.022816093,1.550039401,2.477736233,14.52421429,15.15151585,0.951362497,5.30817597,0.935217212,1.969609105,0.811243907,1.474027643,1.323226516,1.074424617,6.774400547,1.281620549,0.467071954
Croatia,HRV,1990,2.68182754,0.000146372,0,0.597196073,0.174636645,1.605035387,1.171864496,0.487388531,2.900323537,28.92034399,5.353900625,0.446376884,1.979286687,2.055454804,2.468070488,4.92225306,0.036993008,6.929919497,5.176309849,16.91442443,4.649768033,3.934133622,0.048008934,4.22617725,2.088484298
Cuba,CUB,1990,3.443537921,0.00765504,0.078817294,1.909415962,0.155901894,1.194983064,1.865488732,1.07066514,4.723806086,20.05279859,3.206072997,1.303824762,2.990257321,3.325049475,2.744747662,6.605207421,0.233458273,5.261616413,5.34779732,12.50362253,7.719468559,4.127110285,0.179858352,5.354641206,3.02717536
Cyprus,CYP,1991,0.911776658,0,0.005916953,0.676171589,0.035733172,1.230903321,2.671708472,0.377311261,6.810862125,22.93278543,2.749200714,0.547139242,1.819418748,4.763398437,4.327987337,7.347298415,0.076839287,4.899301882,8.203631961,10.68868537,7.100417426,4.960753745,0.069675342,4.670699743,1.589024064
Czechia,CZE,1990,2.335285028,0,2.90E-05,0.462864181,0.028900497,1.077190909,1.121822135,0.462136612,3.263242023,33.67461569,3.979240008,0.483326511,1.649647185,1.930128048,2.345557416,4.692881506,0.044740252,6.976469198,4.546673264,17.48318388,4.097952419,3.752573363,0.033716991,3.343242301,1.990592181
Democratic Republic of Congo,COD,1990,0.322905447,0.003827295,0.026055127,0.256513132,21.51175841,0.16908459,0.489025808,8.116460903,1.069143511,3.396157429,1.632663824,4.001095274,17.39310811,9.897087205,1.13141659,5.258129674,0.892482181,2.139249656,0.78452783,1.657605095,1.480333891,0.918741434,4.386647681,3.682162931,0.420388817
Denmark,DNK,1990,3.277624457,0.002504937,2.76E-05,0.361679211,0.010069208,2.308458225,2.116222196,0.286484676,2.113982234,24.69729741,3.382277106,0.43510217,1.73918273,1.236935892,5.005674568,6.441160384,0.02117414,4.368104943,8.686305057,18.5787044,6.008912248,4.520840782,0.039602471,2.406947152,1.553135386
Djibouti,DJI,1990,0.325165213,0.007557427,1.300258939,0.597639341,3.744709641,0.262723846,0.808248975,16.28755071,0.971929193,3.501143775,1.64851864,10.65537466,15.80666271,15.0064569,1.17446511,5.128611803,1.588007459,2.320402152,0.982677307,2.207637023,1.961928082,1.12416085,0.71753281,1.495097618,0.658764583
Dominica,DMA,1990,0.573986934,0.002274818,0.034998534,1.325785086,0.414540572,1.122016214,2.099278625,1.134125116,8.497155969,19.26263965,3.336050699,1.704039163,3.962427654,7.248712667,2.392057141,6.365393339,0.291115585,5.026284667,4.045698988,13.26057282,4.635026629,4.356779081,1.767376687,3.593931561,2.26425732
Dominican Republic,DOM,1990,0.521625576,0.000733131,0.010140589,1.869341897,1.07780975,0.615215659,1.372883587,9.765812871,2.16949569,8.114326693,4.187384183,4.751951099,8.42627422,17.97756417,1.810912935,7.828049404,0.522352898,4.701117297,2.588633114,3.911728975,4.243618936,2.483906355,1.474859854,3.783816394,1.456012181
Ecuador,ECU,1991,0.963827839,0.111182614,0.001729223,2.335051339,2.027794231,1.152701987,1.810026447,7.111423313,2.79821014,8.157049152,4.754179963,3.007028148,11.1568697,11.26830632,2.421380055,6.454047333,0.696944926,6.416626283,3.453704609,5.895673585,4.910528721,3.393648095,0.854463459,4.842955688,1.738230573
Egypt,EGY,1991,0.372783376,0.000314,0.002331658,0.124015749,1.185972194,0.226535132,0.822563246,11.08186999,2.125789245,18.26581637,4.433146822,1.354005366,15.6743392,9.160125467,2.120920354,7.3838261,0.423117957,2.231419712,2.407974261,2.994556108,3.369453928,2.000001881,0.09720577,6.410262939,1.115784758
El Salvador,SLV,1990,1.59084987,0.041680019,5.833617723,6.657774455,0.472862906,2.934875636,1.127116007,9.333376966,2.347041823,7.39411607,4.470913838,1.991138065,6.109876381,12.42505957,2.519652335,7.161108019,0.924186096,4.622312247,2.790724127,3.911767336,3.782590298,2.435845079,0.381697801,4.587519825,1.574681495
Equatorial Guinea,GNQ,1990,0.42592579,0,0,0.341019349,11.79946006,0.172782378,0.429994436,19.6885644,1.086359008,3.998481007,1.488257986,4.225788667,19.28553972,9.115574042,1.186340739,3.742871913,1.127681211,2.122493222,0.688787097,1.593848773,1.337814787,0.822211189,1.910670836,2.431353722,0.554286717
Eritrea,ERI,1990,0.288130305,0,20.80408174,0.327154963,2.456482992,0.156939634,0.441768687,13.98471248,0.699357015,2.639162915,1.157049202,10.2145089,16.43288884,6.987441496,1.027237194,2.761887662,1.202839647,1.752485301,0.427788337,1.409149003,1.122103397,0.582028492,1.162782704,1.077045853,0.380769632
Estonia,EST,1990,3.177382073,0,0,1.635882373,0.112968841,2.530879844,1.277832908,0.386048176,1.393582068,31.98840555,2.629238057,0.656122066,1.920804375,2.310125757,1.613484704,5.065474789,0.091705323,9.690262541,4.029021373,14.14482233,4.573043801,3.437705951,0.063240873,4.934620576,1.982499661
Eswatini,SWZ,1990,1.015515358,0.006069331,0.000918497,2.821227195,2.056809087,0.612291624,0.896866325,9.877164612,2.465559347,5.453637749,2.061602729,4.272168774,18.1932502,13.45225593,2.321460541,4.548236664,0.607535436,3.740512537,1.386047707,3.040846884,2.392283432,1.625164805,3.175057435,2.994525365,1.031855203
Ethiopia,ETH,1990,0.409339255,5.17E-05,5.550089615,0.510805113,3.861106188,0.192305995,0.537484154,12.13116735,1.115746208,3.021764786,1.73221905,5.767065653,18.96210659,12.85399078,0.931355432,4.238069433,1.420642408,2.652934197,0.554956903,1.982025699,1.129266973,0.586776299,3.111000467,1.235415229,0.441981742
Fiji,FJI,1996,1.732335787,0.019783846,0.000325765,0.868823112,1.667276828,0.484557022,2.021724359,2.548247494,13.01411012,21.35101301,2.036875392,2.119457748,5.306215455,7.211980744,5.000422195,5.24313004,0.483957798,4.450145609,4.310578018,5.809678048,3.856586344,2.92060066,0.668612137,2.41078274,1.665783306
Finland,FIN,1993,4.284817195,0,0.008847466,0.742811569,0.017353043,2.243044572,2.300403035,0.244561462,2.467499211,26.26681892,3.428791929,0.40750206,2.88818184,1.073784457,2.785450744,6.091586724,0.028880121,6.329775069,7.672550065,14.48785835,6.567650174,5.142636209,0.084458005,2.530304218,1.669513715
France,FRA,1990,3.396768929,0.009069827,0.003766027,0.429781716,0.014506301,1.84055072,2.917051515,0.309766403,1.954813578,16.39687745,4.148693113,0.68518302,2.017925522,1.37666778,3.716067699,6.885379486,0.050477403,6.456868876,7.744967015,19.15681198,7.654935544,5.650094583,0.940044295,4.056809164,1.870953148
Gabon,GAB,1990,0.821676268,0,0,0.540359937,15.71095162,0.434292225,0.789640677,7.871660376,2.720816714,7.255211015,2.725686356,2.79437242,12.58281699,12.01789817,1.650353969,5.506274073,1.060795535,2.488492937,1.505815514,3.884316217,2.649560898,1.88869417,2.699321675,3.372356767,0.904150365
Gambia,GMB,1990,0.262421498,0,0.055235017,0.072306617,14.49566675,0.17273391,0.633140379,8.988925945,0.990777369,3.334205052,1.943315853,4.81530095,14.00203676,17.55320915,1.127141761,6.273018444,1.594042768,2.096905184,0.975102013,1.542159521,1.949025067,1.211406542,1.325696027,1.193694342,0.681430975
